ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"95.31.35.210","elite","AS3216","RU","Corbina Broadband Kubtelecom","81","OJSC \"Vimpelcom\"","3629","socks4","37","1","2023-01-25T14:09:44.058Z","93","848","909"
"186.208.118.102","elite","AS53162","BR","Voipglobe Servicos De COM Multimidia VIA Internet","194","Voipglobe Servicos De COM Multimidia VIA Internet","4153","socks4","46","1","2023-01-25T14:09:43.286Z","99","850","857"
"170.150.103.55","elite","AS262346","BR","FP Telecomunicacoes Ltda","205","FP Telecomunicacoes Ltda","4145","socks4","46","1","2023-01-25T14:09:43.958Z","80","684","856"
"45.77.39.10","elite","AS20473","SG","The Constant Company","166","Vultr Holdings, LLC","52644","socks4","47","1","2023-01-25T14:09:40.222Z","32","288","894"
"43.153.11.102","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","147","Tencent Cloud Computing","443","socks4","41","1","2023-01-25T14:09:40.818Z","29","252","862"
"124.105.29.181","elite","AS9299","PH","Philippine Long Distance Telephone Co.","255","Philstocks Financial, Inc.","13629","socks4","38","1","2023-01-25T14:09:39.984Z","98","864","878"
"168.227.158.29","elite","AS52898","BR","Multipla Serviços Inteligentes","242","Multipla Serviços Inteligentes","4145","socks4","45","1","2023-01-25T14:09:39.653Z","87","775","895"
"62.171.166.158","elite","AS51167","DE","Contabo GmbH","18","Contabo GmbH","64734","socks5","45","1","2023-01-25T14:09:39.479Z","98","818","837"
"179.43.140.131","elite","AS51852","CH","Private Layer INC","19","Private Layer Inc","9050","socks4","41","1","2023-01-25T14:09:38.587Z","99","898","909"
"112.74.104.232","elite","AS37963","CN","Addresses CNNIC","221","Aliyun Computing Co., LTD","8888","http","48","434","2023-01-25T14:09:37.138Z","93","732","790"
"113.11.183.142","elite","AS17451","ID","BIZNET","183","BIZNET","4145","socks4","65","1","2023-01-25T14:09:37.720Z","98","867","888"
"45.7.177.233","elite","AS266626","BR","Litoral Telecom","203","Litoral Telecom","39867","socks4","38","1","2023-01-25T14:09:37.485Z","99","876","885"
"178.212.48.70","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","33","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","45","1","2023-01-25T14:09:37.111Z","100","910","911"
"95.79.111.39","elite","AS42682","RU","CJSC \"ER-Telecom Holding\" Nizhny Novgorod branch","52","JSC \"ER-Telecom Holding\" Nizhny Novgorod","1080","socks5","49","2","2023-01-25T14:09:37.309Z","100","787","788"
"200.105.192.6","elite","AS26210","BO","AXS Bolivia S. A.","194","AXS Bolivia S. A","5678","socks4","40","1","2023-01-25T14:09:37.746Z","100","907","910"
"36.95.56.58","elite","AS7713","ID","PT. Telekomunikasi Indonesia","308","Telekomunikasi Indonesia","5678","socks4","63","1","2023-01-25T14:09:37.172Z","99","897","909"
"202.150.151.138","elite","AS23949","ID","PT Comtronics Systems","171","N/A","5678","socks4","53","1","2023-01-25T14:09:37.737Z","99","904","910"
"179.107.53.30","elite","AS263284","BR","Topmega Internet e Informática LTDA -ME","254","Topmega Internet e Informática LTDA -ME","4153","socks4","55","1","2023-01-25T14:09:37.738Z","47","411","872"
"103.84.178.193","elite","AS136279","IN","Glo Internet Services Pvt Ltd","160","Glo  Pvt Ltd","4153","socks4","39","1","2023-01-25T14:09:37.174Z","100","844","847"
"201.217.245.229","elite","AS52373","AR","Ecom Chaco S.A.","284","Ecom Chaco S.A","37254","socks4","61","1","2023-01-25T14:09:36.931Z","94","741","789"
"203.113.117.49","elite","AS131293","TH","TOT Public Company Limited","182","TOT Public Company Limited","4153","socks4","82","1","2023-01-25T14:09:36.714Z","97","882","908"
"202.44.228.125","elite","AS4618","TH","Internet Thailand Company Ltd.","188","Internet Thailand Company Limited","4153","socks4","72","1","2023-01-25T14:09:36.900Z","79","637","811"
"103.70.159.130","elite","AS133720","IN","speednet","120","N/A","5678","socks4","97","1","2023-01-25T14:09:35.028Z","100","842","846"
"103.250.73.178","elite","AS17819","JP","UPRIGHT","238","Upright Inc.","8444","socks5","119","1","2023-01-25T14:09:35.296Z","100","905","909"
"43.153.175.43","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","231","Tencent Cloud Computing","443","socks5","61","1","2023-01-25T14:09:35.032Z","79","693","873"
"192.163.252.85","elite","AS46606","US","Unified Layer","134","Unified Layer","52119","socks5","86","1","2023-01-25T14:09:35.238Z","100","885","888"
"45.70.206.33","elite","AS267586","BR","Rafael Pierre Barbosa - Me","170","Rafael Pierre Barbosa - Me","4145","socks4","145","1","2023-01-25T14:09:35.027Z","100","896","899"
"197.234.13.73","elite","AS36902","SC","Intelvision","167","Intelvision Ltd","4145","socks4","109","1","2023-01-25T14:09:34.756Z","100","849","852"
"49.156.42.186","elite","AS24492","KH","WiCAM Corporation Ltd","196","WiCAM Corporation Ltd.","5678","socks4","57","1","2023-01-25T14:09:34.583Z","91","824","909"
"31.206.38.40","elite","AS15924","TR","Vodafone NET Iletisim Hizmetleri Anonim Sirketi","79","Vfnet Data Support","37630","socks4","110","1","2023-01-25T14:09:34.209Z","100","907","909"
"80.191.169.66","elite","AS58224","IR","Information Technology Company","160","Azad University of Anar","4145","socks4","90","1","2023-01-25T14:09:34.210Z","79","694","876"
"47.57.246.250","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","257","Alibaba.com LLC","53213","socks5","69","1","2023-01-25T14:09:34.241Z","46","415","909"
"113.11.131.146","elite","AS9326","ID","CENTRIN","171","N/A","5678","socks4","396","1","2023-01-25T14:09:34.166Z","99","898","906"
"200.109.65.110","elite","AS8048","VE","CANTV Servicios, Venezuela","153","CANTV Servicios, Venezuela","4153","socks4","86","1","2023-01-25T14:09:34.225Z","96","871","910"
